StoreID,Region,MonthlySpend,StoreSizeIndex,Age,IncomeK,DaysSinceLastPurchase,Device,Promo,EmailTouch,PaidSearchClick,Converted,Revenue
S05,Midwest,144893,0.6159794225754956,44,48.7,20,Desktop,0,0,0,0,46.54
S17,South,105046,0.8714287779481898,30,57.3,43,Mobile,1,1,0,0,23.17
S17,South,105046,0.8714287779481898,39,68.0,64,Mobile,0,0,1,0,71.09
S12,West,80335,0.543154268305195,37,70.7,10,Mobile,1,1,0,1,41.46
S10,South,113304,0.6505927878247011,35,30.5,93,Desktop,0,1,1,0,38.36
S25,Northeast,78146,-0.4703726542927955,47,62.9,10,Mobile,1,1,1,1,24.57
S14,West,137401,0.23216132306671977,20,85.5,30,Desktop,1,1,0,0,55.83
S25,Northeast,78146,-0.4703726542927955,32,59.7,17,Mobile,0,0,0,1,18.24
S29,Midwest,136826,-0.8658311156932432,46,63.1,7,Mobile,1,1,1,1,69.79
S10,South,113304,0.6505927878247011,31,71.6,51,Desktop,0,1,0,0,46.83
S07,Northeast,107795,-0.11394745765487507,19,65.2,68,Mobile,0,1,1,1,12.37
S29,Midwest,136826,-0.8658311156932432,46,45.3,121,Desktop,1,1,0,0,57.43
S20,Northeast,109173,0.06757906948889146,51,67.2,56,Desktop,1,1,0,0,29.46
S09,Midwest,150029,-0.8244812156912396,37,89.9,23,Mobile,1,1,1,1,105.25
S19,West,141896,0.6789135630718949,18,44.9,31,Desktop,1,0,1,1,181.88
S16,Midwest,144167,0.21868859672901295,46,59.8,8,Desktop,0,0,0,1,70.71
S28,Midwest,120437,1.4949413112343959,18,37.6,34,Mobile,1,0,0,1,30.69
S08,Northeast,103818,-0.840156476962528,42,88.7,45,Mobile,0,1,0,1,41.71
S30,Northeast,135629,0.9682783545914808,27,66.0,66,Mobile,1,1,0,1,29.68
S29,Midwest,136826,-0.8658311156932432,24,49.3,79,Mobile,1,1,1,0,72.18
S06,West,147767,1.1289722927208916,33,70.0,65,Mobile,0,0,0,1,14.44
S05,Midwest,144893,0.6159794225754956,36,41.5,21,Desktop,1,1,0,1,26.61
S16,Midwest,144167,0.21868859672901295,30,45.3,16,Desktop,1,1,0,0,40.19
S02,South,108279,-0.4064150163846156,45,35.9,75,Mobile,1,0,1,0,29.0
S09,Midwest,150029,-0.8244812156912396,33,44.5,6,Desktop,1,1,0,1,58.47
S14,West,137401,0.23216132306671977,50,97.9,160,Desktop,1,1,0,0,13.81
S30,Northeast,135629,0.9682783545914808,41,51.9,24,Desktop,0,0,1,0,50.77
S30,Northeast,135629,0.9682783545914808,30,78.3,102,Desktop,0,0,1,0,21.61
S05,Midwest,144893,0.6159794225754956,28,49.6,28,Mobile,1,1,0,0,23.44
S27,South,103571,-0.27514225122668373,18,84.7,69,Mobile,0,1,0,0,22.61
S03,West,125696,-0.5122427290715373,41,45.4,16,Mobile,0,1,1,0,56.79
S23,West,107293,-1.4571558198556664,34,68.9,47,Mobile,1,1,0,0,24.39
S26,Midwest,137044,-0.6388778482433419,18,69.2,8,Mobile,1,1,0,0,32.16
S27,South,103571,-0.27514225122668373,32,119.2,59,Mobile,1,1,0,1,26.96
S07,Northeast,107795,-0.11394745765487507,27,81.9,16,Mobile,0,1,1,0,38.54
S27,South,103571,-0.27514225122668373,57,55.0,18,Mobile,0,1,1,0,106.94
S04,Northeast,140518,-0.8137727282478777,18,83.1,33,Mobile,1,0,0,1,45.86
S16,Midwest,144167,0.21868859672901295,21,115.0,38,Mobile,0,0,0,1,15.05
S15,South,124985,0.11668580914072822,51,32.1,66,Mobile,0,1,0,0,16.83
S10,South,113304,0.6505927878247011,54,49.5,62,Mobile,0,0,0,0,29.63
S01,Northeast,61100,2.1416476008704612,29,62.8,51,Desktop,1,0,1,0,51.22
S24,West,106639,-0.31967121635730134,30,58.8,85,Desktop,0,1,0,0,11.87
S11,South,75351,0.7432541712034423,45,60.7,60,Desktop,0,0,0,1,18.2
S20,Northeast,109173,0.06757906948889146,18,39.3,64,Desktop,0,1,0,0,18.27
S13,Northeast,87819,-0.6655097072886943,18,98.9,18,Desktop,0,0,0,0,13.29
S12,West,80335,0.543154268305195,35,36.7,90,Desktop,1,1,0,1,47.68
S27,South,103571,-0.27514225122668373,57,63.6,82,Mobile,1,1,0,1,38.23
S03,West,125696,-0.5122427290715373,33,91.0,53,Mobile,1,0,0,0,26.37
S23,West,107293,-1.4571558198556664,39,67.3,80,Desktop,0,0,0,0,12.51
S23,West,107293,-1.4571558198556664,52,46.5,45,Tablet,0,1,0,0,39.68
S12,West,80335,0.543154268305195,63,38.3,125,Mobile,0,0,0,0,22.01
S08,Northeast,103818,-0.840156476962528,31,62.9,49,Mobile,1,0,0,0,20.57
S01,Northeast,61100,2.1416476008704612,38,51.3,43,Mobile,0,1,0,1,69.03
S29,Midwest,136826,-0.8658311156932432,60,72.5,61,Mobile,0,1,0,0,66.01
S29,Midwest,136826,-0.8658311156932432,20,37.2,142,Mobile,0,1,1,0,88.93
S08,Northeast,103818,-0.840156476962528,50,85.9,29,Mobile,1,0,0,0,12.59
S01,Northeast,61100,2.1416476008704612,26,70.5,58,Mobile,1,1,0,0,33.29
S04,Northeast,140518,-0.8137727282478777,39,72.2,31,Desktop,0,1,0,0,29.86
S03,West,125696,-0.5122427290715373,35,99.7,43,Desktop,1,1,0,0,182.41
S25,Northeast,78146,-0.4703726542927955,27,58.4,22,Desktop,0,1,0,0,44.69
S27,South,103571,-0.27514225122668373,26,52.0,62,Mobile,1,1,0,0,48.33
S05,Midwest,144893,0.6159794225754956,41,55.9,46,Mobile,1,1,0,0,42.99
S23,West,107293,-1.4571558198556664,50,63.8,79,Desktop,1,1,0,0,20.72
S06,West,147767,1.1289722927208916,36,66.0,94,Mobile,1,1,0,0,45.21
S12,West,80335,0.543154268305195,39,49.7,104,Tablet,0,1,0,0,19.44
S18,Midwest,125549,0.22359554877468227,45,23.5,32,Mobile,0,1,0,0,38.4
S22,South,96833,0.6312882258385404,26,55.7,61,Mobile,1,1,0,0,43.52
S27,South,103571,-0.27514225122668373,47,75.9,109,Mobile,1,0,0,0,47.91
S02,South,108279,-0.4064150163846156,48,71.0,22,Mobile,0,1,0,1,19.59
S06,West,147767,1.1289722927208916,69,94.4,50,Mobile,0,1,1,1,19.27
S09,Midwest,150029,-0.8244812156912396,33,111.0,24,Mobile,0,0,1,1,29.19
S10,South,113304,0.6505927878247011,33,84.7,141,Mobile,0,0,0,0,22.15
S30,Northeast,135629,0.9682783545914808,47,98.4,108,Mobile,1,0,1,0,62.09
S24,West,106639,-0.31967121635730134,48,84.9,68,Desktop,0,0,0,0,11.57
S10,South,113304,0.6505927878247011,32,105.6,68,Mobile,1,1,0,1,61.53
S30,Northeast,135629,0.9682783545914808,33,108.7,26,Desktop,0,1,1,1,58.0
S15,South,124985,0.11668580914072822,44,88.9,116,Desktop,1,1,1,0,29.62
S16,Midwest,144167,0.21868859672901295,28,83.5,37,Mobile,1,1,0,1,33.6
S14,West,137401,0.23216132306671977,33,63.5,28,Mobile,1,0,0,1,80.95
S05,Midwest,144893,0.6159794225754956,39,67.1,98,Mobile,1,0,1,0,38.66
S29,Midwest,136826,-0.8658311156932432,50,60.6,34,Mobile,0,0,0,1,136.27
S01,Northeast,61100,2.1416476008704612,31,81.7,29,Desktop,0,0,0,0,28.71
S06,West,147767,1.1289722927208916,18,52.2,82,Desktop,1,0,0,0,12.69
S07,Northeast,107795,-0.11394745765487507,18,63.8,17,Mobile,1,1,1,1,32.61
S09,Midwest,150029,-0.8244812156912396,23,18.0,69,Mobile,1,0,0,0,44.97
S04,Northeast,140518,-0.8137727282478777,22,105.9,50,Desktop,1,1,0,0,44.84
S01,Northeast,61100,2.1416476008704612,36,63.1,78,Mobile,0,1,0,0,80.16
S21,Northeast,135987,0.28911939868998415,24,78.0,64,Mobile,0,1,0,0,33.06
S30,Northeast,135629,0.9682783545914808,30,100.1,200,Mobile,1,0,0,0,44.71
S04,Northeast,140518,-0.8137727282478777,29,74.6,54,Mobile,1,0,0,0,30.66
S09,Midwest,150029,-0.8244812156912396,33,99.8,34,Mobile,1,1,1,0,103.42
S16,Midwest,144167,0.21868859672901295,54,40.7,47,Tablet,1,0,1,1,86.15
S28,Midwest,120437,1.4949413112343959,46,120.7,63,Desktop,1,1,0,0,43.19
S21,Northeast,135987,0.28911939868998415,38,91.9,136,Mobile,1,0,1,0,67.65
S23,West,107293,-1.4571558198556664,32,72.6,72,Desktop,0,1,0,0,26.06
S18,Midwest,125549,0.22359554877468227,33,99.4,24,Mobile,1,1,0,0,64.66
S13,Northeast,87819,-0.6655097072886943,42,42.3,365,Mobile,0,1,0,0,19.37
S06,West,147767,1.1289722927208916,45,61.7,92,Tablet,0,0,0,1,31.29
S26,Midwest,137044,-0.6388778482433419,27,99.8,23,Desktop,1,0,0,0,43.28
S25,Northeast,78146,-0.4703726542927955,38,26.9,18,Desktop,0,1,0,0,49.25
S01,Northeast,61100,2.1416476008704612,18,80.3,15,Mobile,0,1,0,1,28.55
S22,South,96833,0.6312882258385404,41,79.7,45,Mobile,1,1,0,1,39.0
S03,West,125696,-0.5122427290715373,47,111.3,46,Desktop,1,0,0,0,22.8
S23,West,107293,-1.4571558198556664,35,33.2,27,Mobile,0,1,0,0,23.55
S25,Northeast,78146,-0.4703726542927955,60,103.4,13,Desktop,1,0,1,1,87.3
S04,Northeast,140518,-0.8137727282478777,27,55.7,19,Desktop,0,1,0,0,36.4
S14,West,137401,0.23216132306671977,41,58.2,73,Mobile,0,1,1,0,16.37
S04,Northeast,140518,-0.8137727282478777,38,41.1,37,Desktop,1,0,0,0,31.86
S18,Midwest,125549,0.22359554877468227,37,44.1,21,Desktop,1,0,0,0,64.41
S28,Midwest,120437,1.4949413112343959,37,76.9,50,Desktop,1,1,0,0,42.95
S03,West,125696,-0.5122427290715373,39,43.5,58,Mobile,1,1,1,0,65.68
S12,West,80335,0.543154268305195,48,84.3,62,Mobile,1,1,1,0,38.79
S30,Northeast,135629,0.9682783545914808,55,53.4,49,Mobile,1,1,1,0,75.48
S10,South,113304,0.6505927878247011,38,41.3,44,Mobile,0,1,0,0,30.88
S04,Northeast,140518,-0.8137727282478777,48,56.4,103,Desktop,1,0,0,0,63.92
S15,South,124985,0.11668580914072822,30,75.4,19,Tablet,1,1,0,1,18.73
S16,Midwest,144167,0.21868859672901295,47,61.9,39,Mobile,0,1,1,0,63.67
S20,Northeast,109173,0.06757906948889146,29,68.8,8,Desktop,1,1,0,1,93.35
S10,South,113304,0.6505927878247011,51,83.3,36,Desktop,1,1,0,1,10.76
S29,Midwest,136826,-0.8658311156932432,65,91.8,53,Mobile,0,1,0,0,66.04
S16,Midwest,144167,0.21868859672901295,37,61.2,82,Mobile,0,0,1,0,14.72
S09,Midwest,150029,-0.8244812156912396,18,45.0,8,Mobile,0,1,1,1,33.43
S29,Midwest,136826,-0.8658311156932432,31,69.7,52,Mobile,0,0,0,0,36.31
S28,Midwest,120437,1.4949413112343959,53,78.4,149,Desktop,1,1,0,1,42.27
S15,South,124985,0.11668580914072822,45,35.9,65,Mobile,0,1,0,0,27.63
S01,Northeast,61100,2.1416476008704612,41,48.4,16,Mobile,1,1,0,1,84.39
S18,Midwest,125549,0.22359554877468227,50,52.2,36,Desktop,1,0,1,0,72.69
S17,South,105046,0.8714287779481898,44,63.4,67,Desktop,0,1,0,0,35.94
S05,Midwest,144893,0.6159794225754956,53,51.3,28,Desktop,0,0,1,1,16.78
S20,Northeast,109173,0.06757906948889146,49,83.6,56,Desktop,0,1,0,0,33.28
S26,Midwest,137044,-0.6388778482433419,56,32.7,54,Mobile,0,0,1,0,6.32
S04,Northeast,140518,-0.8137727282478777,42,33.2,44,Desktop,0,1,0,0,70.76
S22,South,96833,0.6312882258385404,49,60.7,15,Mobile,0,1,1,1,93.47
S05,Midwest,144893,0.6159794225754956,34,64.1,26,Mobile,1,0,0,1,42.26
S23,West,107293,-1.4571558198556664,31,36.0,159,Mobile,1,1,1,1,49.81
S13,Northeast,87819,-0.6655097072886943,58,54.7,34,Mobile,0,1,1,0,15.23
S01,Northeast,61100,2.1416476008704612,41,59.2,37,Mobile,0,0,0,1,65.87
S29,Midwest,136826,-0.8658311156932432,48,59.3,37,Desktop,1,0,1,1,129.19
S05,Midwest,144893,0.6159794225754956,39,71.3,80,Mobile,0,0,0,0,19.85
S18,Midwest,125549,0.22359554877468227,31,53.4,38,Mobile,1,1,0,1,27.66
S06,West,147767,1.1289722927208916,38,100.5,45,Tablet,0,1,0,1,30.45
S28,Midwest,120437,1.4949413112343959,55,78.7,52,Desktop,1,1,0,1,67.84
S23,West,107293,-1.4571558198556664,45,50.2,87,Desktop,0,1,1,0,19.71
S25,Northeast,78146,-0.4703726542927955,18,70.1,45,Desktop,0,1,1,0,37.78
S13,Northeast,87819,-0.6655097072886943,35,70.7,49,Mobile,1,1,0,0,20.32
S15,South,124985,0.11668580914072822,59,94.7,29,Mobile,0,1,0,0,23.16
S20,Northeast,109173,0.06757906948889146,35,54.8,57,Desktop,1,1,0,0,63.97
S24,West,106639,-0.31967121635730134,18,84.9,69,Desktop,0,1,0,1,29.17
S26,Midwest,137044,-0.6388778482433419,61,68.9,72,Mobile,0,1,1,1,48.71
S01,Northeast,61100,2.1416476008704612,46,100.8,143,Mobile,0,1,0,0,61.01
S20,Northeast,109173,0.06757906948889146,37,96.4,24,Mobile,1,1,0,0,67.23
S04,Northeast,140518,-0.8137727282478777,34,72.3,47,Mobile,1,0,0,0,34.61
S09,Midwest,150029,-0.8244812156912396,51,62.2,39,Mobile,0,1,0,0,49.47
S25,Northeast,78146,-0.4703726542927955,31,79.1,127,Mobile,1,1,0,0,43.99
S08,Northeast,103818,-0.840156476962528,52,64.0,74,Mobile,1,0,0,0,9.66
S24,West,106639,-0.31967121635730134,45,105.0,11,Mobile,0,1,0,1,11.4
S14,West,137401,0.23216132306671977,41,69.7,27,Desktop,0,1,1,0,33.8
S07,Northeast,107795,-0.11394745765487507,40,59.1,35,Mobile,0,0,0,0,8.15
S11,South,75351,0.7432541712034423,36,57.9,12,Mobile,0,0,1,1,21.06
S16,Midwest,144167,0.21868859672901295,51,41.3,49,Mobile,1,0,0,1,26.41
S23,West,107293,-1.4571558198556664,28,80.2,31,Desktop,0,0,0,0,46.72
S19,West,141896,0.6789135630718949,19,50.0,147,Mobile,0,0,0,0,26.55
S28,Midwest,120437,1.4949413112343959,45,92.2,57,Desktop,1,1,0,1,27.7
S27,South,103571,-0.27514225122668373,46,39.6,34,Mobile,0,1,1,1,46.55
S23,West,107293,-1.4571558198556664,44,70.8,20,Desktop,1,1,1,0,28.05
S19,West,141896,0.6789135630718949,43,93.3,44,Mobile,1,1,0,0,67.49
S09,Midwest,150029,-0.8244812156912396,34,20.7,120,Desktop,0,0,0,0,23.07
S13,Northeast,87819,-0.6655097072886943,47,112.4,39,Desktop,0,1,0,1,51.79
S04,Northeast,140518,-0.8137727282478777,37,58.6,44,Mobile,0,0,0,0,14.99
S12,West,80335,0.543154268305195,32,71.1,95,Mobile,1,1,0,0,20.52
S28,Midwest,120437,1.4949413112343959,34,80.6,56,Mobile,0,1,0,1,50.29
S13,Northeast,87819,-0.6655097072886943,62,84.0,79,Mobile,1,0,0,0,25.58
S04,Northeast,140518,-0.8137727282478777,18,74.0,60,Desktop,1,1,0,1,104.34
S20,Northeast,109173,0.06757906948889146,44,89.9,57,Mobile,0,1,0,0,17.09
S29,Midwest,136826,-0.8658311156932432,18,79.4,10,Desktop,1,1,0,1,98.55
S27,South,103571,-0.27514225122668373,37,106.7,18,Mobile,1,1,0,0,61.1
S09,Midwest,150029,-0.8244812156912396,33,79.5,52,Mobile,0,1,1,0,21.56
S14,West,137401,0.23216132306671977,18,111.2,22,Desktop,1,0,0,0,67.01
S16,Midwest,144167,0.21868859672901295,43,87.8,44,Mobile,0,0,0,0,27.89
S08,Northeast,103818,-0.840156476962528,33,28.3,17,Mobile,1,0,0,0,33.13
S09,Midwest,150029,-0.8244812156912396,18,125.4,95,Mobile,1,0,0,0,25.17
S08,Northeast,103818,-0.840156476962528,48,55.4,24,Mobile,0,0,0,0,23.13
S30,Northeast,135629,0.9682783545914808,55,100.9,20,Tablet,0,1,0,0,36.91
S23,West,107293,-1.4571558198556664,56,68.6,13,Mobile,0,0,0,0,29.51
S26,Midwest,137044,-0.6388778482433419,42,91.3,72,Mobile,0,0,1,0,26.21
S25,Northeast,78146,-0.4703726542927955,39,52.9,44,Mobile,1,1,1,0,50.22
S29,Midwest,136826,-0.8658311156932432,54,81.8,93,Mobile,0,1,0,0,122.96
S04,Northeast,140518,-0.8137727282478777,58,62.4,30,Mobile,1,0,0,1,45.85
S27,South,103571,-0.27514225122668373,52,102.7,18,Mobile,0,0,1,1,51.92
S02,South,108279,-0.4064150163846156,27,77.7,42,Mobile,0,0,0,0,77.16
S15,South,124985,0.11668580914072822,40,88.6,105,Mobile,0,1,1,1,30.33
S18,Midwest,125549,0.22359554877468227,43,20.4,10,Desktop,0,0,0,1,11.03
S11,South,75351,0.7432541712034423,18,66.1,55,Mobile,1,1,1,1,29.79
S05,Midwest,144893,0.6159794225754956,44,77.0,59,Desktop,0,0,0,0,11.72
S06,West,147767,1.1289722927208916,65,72.9,117,Mobile,1,0,0,0,39.55
S25,Northeast,78146,-0.4703726542927955,46,89.1,23,Mobile,1,0,0,0,32.7
S10,South,113304,0.6505927878247011,56,60.0,9,Tablet,0,0,0,0,45.5
S10,South,113304,0.6505927878247011,40,69.1,32,Mobile,0,1,0,0,35.57
S28,Midwest,120437,1.4949413112343959,37,94.0,79,Mobile,0,0,0,1,46.15
S05,Midwest,144893,0.6159794225754956,43,18.0,46,Mobile,0,0,0,0,10.62
S28,Midwest,120437,1.4949413112343959,28,81.0,63,Mobile,1,1,1,1,78.2
S28,Midwest,120437,1.4949413112343959,26,60.7,19,Mobile,0,1,1,0,97.51
S18,Midwest,125549,0.22359554877468227,53,47.9,37,Mobile,0,0,1,0,19.14
S05,Midwest,144893,0.6159794225754956,54,75.4,47,Mobile,0,1,1,1,23.65
S05,Midwest,144893,0.6159794225754956,26,95.0,12,Mobile,0,1,1,1,33.22
S09,Midwest,150029,-0.8244812156912396,50,90.9,47,Mobile,1,0,1,1,57.52
S18,Midwest,125549,0.22359554877468227,37,65.0,35,Mobile,1,1,0,0,94.49
S05,Midwest,144893,0.6159794225754956,42,87.3,225,Desktop,1,1,0,0,29.52
S14,West,137401,0.23216132306671977,44,87.1,44,Desktop,0,0,1,0,69.28
S04,Northeast,140518,-0.8137727282478777,50,66.1,121,Mobile,0,1,0,0,39.55
S17,South,105046,0.8714287779481898,39,52.8,63,Mobile,0,0,0,1,30.81
S01,Northeast,61100,2.1416476008704612,55,54.0,40,Desktop,1,1,0,1,60.36
S22,South,96833,0.6312882258385404,42,86.4,109,Mobile,0,0,0,0,24.37
S02,South,108279,-0.4064150163846156,45,67.1,16,Desktop,0,1,0,0,57.9
S06,West,147767,1.1289722927208916,28,45.0,31,Desktop,1,0,1,0,29.16
S06,West,147767,1.1289722927208916,64,30.9,82,Mobile,1,0,0,0,26.8
S25,Northeast,78146,-0.4703726542927955,44,86.3,5,Desktop,0,0,0,0,20.94
S02,South,108279,-0.4064150163846156,47,56.0,43,Mobile,0,1,0,0,43.85
S13,Northeast,87819,-0.6655097072886943,19,75.3,43,Mobile,1,1,0,0,64.21
S18,Midwest,125549,0.22359554877468227,28,95.3,54,Tablet,0,1,0,0,20.95
S16,Midwest,144167,0.21868859672901295,53,39.2,38,Desktop,1,1,0,0,39.19
S21,Northeast,135987,0.28911939868998415,41,67.0,79,Mobile,0,1,0,0,31.84
S25,Northeast,78146,-0.4703726542927955,18,64.2,24,Desktop,1,0,1,1,71.37
S12,West,80335,0.543154268305195,50,76.4,87,Mobile,1,1,0,1,92.29
S25,Northeast,78146,-0.4703726542927955,31,95.3,18,Desktop,0,1,1,1,35.71
S10,South,113304,0.6505927878247011,55,38.8,57,Tablet,1,1,1,0,8.33
S30,Northeast,135629,0.9682783545914808,37,80.5,101,Desktop,0,0,1,0,62.59
S16,Midwest,144167,0.21868859672901295,40,90.7,22,Mobile,0,0,1,0,42.93
S23,West,107293,-1.4571558198556664,52,63.9,27,Mobile,0,1,0,0,26.12
S27,South,103571,-0.27514225122668373,27,65.0,89,Desktop,1,1,0,1,55.52
S24,West,106639,-0.31967121635730134,26,77.2,51,Mobile,0,1,0,0,15.31
S26,Midwest,137044,-0.6388778482433419,36,75.6,9,Desktop,0,0,0,0,23.1
S17,South,105046,0.8714287779481898,48,80.8,52,Mobile,1,0,0,1,26.3
S02,South,108279,-0.4064150163846156,22,80.3,71,Mobile,1,1,0,0,44.04
S15,South,124985,0.11668580914072822,18,46.4,92,Mobile,0,1,1,0,35.95
S06,West,147767,1.1289722927208916,48,89.8,56,Mobile,0,0,0,0,46.87
S27,South,103571,-0.27514225122668373,31,93.7,64,Mobile,0,0,0,0,35.3
S08,Northeast,103818,-0.840156476962528,33,72.1,129,Mobile,0,1,0,0,15.61
S07,Northeast,107795,-0.11394745765487507,18,35.1,83,Desktop,1,1,0,1,46.68
S08,Northeast,103818,-0.840156476962528,30,65.5,37,Mobile,1,1,0,0,13.71
S20,Northeast,109173,0.06757906948889146,38,72.3,40,Mobile,0,0,1,0,39.56
S18,Midwest,125549,0.22359554877468227,49,42.8,98,Mobile,0,1,0,0,31.56
S29,Midwest,136826,-0.8658311156932432,29,60.1,55,Desktop,0,0,1,1,59.73
S13,Northeast,87819,-0.6655097072886943,58,37.0,49,Mobile,0,0,0,1,15.95
S09,Midwest,150029,-0.8244812156912396,30,81.4,36,Desktop,0,0,0,1,52.93
S02,South,108279,-0.4064150163846156,30,71.7,96,Mobile,0,0,0,0,20.28
S01,Northeast,61100,2.1416476008704612,56,31.8,23,Mobile,0,1,0,0,52.37
S12,West,80335,0.543154268305195,41,75.7,32,Mobile,0,0,0,0,23.54
S28,Midwest,120437,1.4949413112343959,31,66.8,95,Mobile,1,0,0,0,32.12
S16,Midwest,144167,0.21868859672901295,36,79.4,95,Mobile,1,0,0,0,22.11
S27,South,103571,-0.27514225122668373,54,59.4,180,Mobile,0,1,0,0,29.64
S04,Northeast,140518,-0.8137727282478777,56,50.4,43,Mobile,0,1,0,0,30.22
S03,West,125696,-0.5122427290715373,28,51.0,36,Desktop,1,0,1,0,13.42
S26,Midwest,137044,-0.6388778482433419,37,56.2,39,Mobile,0,1,0,0,23.69
S04,Northeast,140518,-0.8137727282478777,39,68.4,11,Desktop,1,0,0,0,28.99
S02,South,108279,-0.4064150163846156,26,71.3,6,Mobile,0,1,0,0,20.21
S13,Northeast,87819,-0.6655097072886943,37,63.8,55,Desktop,1,1,0,0,63.6
S28,Midwest,120437,1.4949413112343959,38,58.7,34,Tablet,0,0,1,0,22.06
S21,Northeast,135987,0.28911939868998415,52,60.3,25,Mobile,1,0,0,1,66.71
S03,West,125696,-0.5122427290715373,52,123.2,49,Mobile,0,0,0,1,21.45
S26,Midwest,137044,-0.6388778482433419,34,51.0,56,Mobile,1,1,0,1,22.65
S26,Midwest,137044,-0.6388778482433419,35,55.7,41,Mobile,1,1,0,0,20.88
S25,Northeast,78146,-0.4703726542927955,46,140.5,42,Mobile,0,1,0,0,39.75
S28,Midwest,120437,1.4949413112343959,31,77.3,34,Mobile,1,0,0,0,57.39
S08,Northeast,103818,-0.840156476962528,45,37.6,74,Mobile,0,1,1,0,10.56
S30,Northeast,135629,0.9682783545914808,37,86.5,30,Desktop,0,1,0,0,70.8
S10,South,113304,0.6505927878247011,26,48.0,20,Mobile,0,1,0,0,14.94
S25,Northeast,78146,-0.4703726542927955,27,88.0,33,Mobile,1,0,0,0,37.43
S18,Midwest,125549,0.22359554877468227,55,63.4,54,Mobile,1,0,0,0,25.6
S24,West,106639,-0.31967121635730134,36,58.3,77,Mobile,0,1,0,0,13.8
S19,West,141896,0.6789135630718949,58,103.4,145,Desktop,1,0,1,0,54.22
S20,Northeast,109173,0.06757906948889146,32,80.5,49,Desktop,1,1,1,0,43.36
S19,West,141896,0.6789135630718949,41,89.4,122,Desktop,1,1,0,0,75.82
S24,West,106639,-0.31967121635730134,67,77.6,28,Mobile,0,1,1,0,15.54
S23,West,107293,-1.4571558198556664,25,58.2,24,Mobile,0,0,1,1,29.68
S05,Midwest,144893,0.6159794225754956,18,81.4,62,Mobile,0,1,0,0,24.07
S25,Northeast,78146,-0.4703726542927955,53,94.6,69,Mobile,0,1,1,0,130.52
S17,South,105046,0.8714287779481898,28,71.0,52,Desktop,0,0,0,0,36.44
S10,South,113304,0.6505927878247011,38,107.6,229,Desktop,1,0,1,0,36.04
S16,Midwest,144167,0.21868859672901295,31,86.7,29,Desktop,1,0,0,1,16.36
S30,Northeast,135629,0.9682783545914808,41,72.7,107,Mobile,1,0,0,0,14.35
S26,Midwest,137044,-0.6388778482433419,27,73.5,25,Tablet,0,0,1,0,28.63
S26,Midwest,137044,-0.6388778482433419,36,71.0,73,Tablet,0,1,0,0,61.66
S14,West,137401,0.23216132306671977,43,40.5,47,Mobile,1,0,1,0,204.17
S24,West,106639,-0.31967121635730134,26,66.0,55,Mobile,0,1,0,1,12.85
S12,West,80335,0.543154268305195,30,72.9,63,Desktop,1,1,0,1,40.24
S21,Northeast,135987,0.28911939868998415,34,58.8,49,Mobile,0,0,1,0,58.77
S20,Northeast,109173,0.06757906948889146,21,75.4,42,Mobile,0,1,0,1,16.13
