CustomerID,SignupDate,Age,Gender,AnnualIncome,MonthlySpend,Region,Transactions,Comments
C1026,2022-01-27,,Unknown,40000,723.8929413373708,North,4,Good service
C1027,2022-01-28,30.0,Male,,556.8599505094145,South,2,Excellent!
C1028,2022-01-29,45.0,,40000,357.0435803356822,South,5,Excellent!
C1029,2022-01-30,40.0,Male,40000,578.7864330360595,North,2,Excellent!
C1030,2022-01-31,,,40000,383.0381995727214,South,5,
C1031,2022-02-01,25.0,,60000,594.4501524490943,,3,Bad experience
C1032,2022-02-02,25.0,,,639.0314694808885,,5,Excellent!
C1033,2022-02-03,35.0,Unknown,40000,401.5181217977947,North,4,
C1034,2022-02-04,35.0,Unknown,70000,615.6051355093186,Central,1,
C1035,2022-02-05,50.0,Unknown,120000,549.5337112323798,Central,5,Average
C1036,2022-02-06,30.0,Male,40000,598.6472191993388,North,5,
C1037,2022-02-07,,,60000,727.6151579184736,Central,1,
C1038,2022-02-08,,Unknown,,470.55342607965554,Central,4,Excellent!
C1039,2022-02-09,50.0,Unknown,60000,409.55166027710123,,2,Average
C1040,2022-02-10,45.0,Male,40000,393.2582684449372,Central,5,Average
C1041,2022-02-11,45.0,Unknown,,402.1027658041474,East,1,
C1042,2022-02-12,50.0,Male,120000,490.7477948703075,West,3,Average
C1043,2022-02-13,45.0,Female,40000,540.9382369779972,South,1,Bad experience
C1044,2022-02-14,35.0,Unknown,60000,533.2028959196023,East,3,Excellent!
C1045,2022-02-15,,Female,50000,599.2619898843228,Central,4,Average
C1046,2022-02-16,50.0,Male,70000,501.56022702534887,,2,
C1047,2022-02-17,,,60000,674.424089258878,North,1,Bad experience
C1048,2022-02-18,25.0,Unknown,,468.2411800114453,Central,20,Good service
C1049,2022-02-19,35.0,Male,40000,826.4202999907543,,20,Good service
C1050,2022-02-20,40.0,,70000,575.0800817318008,West,10,Bad experience
C1051,2022-02-21,35.0,,40000,397.14109323004607,Central,5,
C1052,2022-02-22,50.0,Female,,371.49290023266656,North,4,Bad experience
C1053,2022-02-23,40.0,Male,40000,557.8966898291823,,1,Excellent!
C1054,2022-02-24,25.0,,50000,473.18446576089787,,20,Excellent!
C1055,2022-02-25,50.0,Unknown,70000,585.6800592910511,,5,Good service
C1056,2022-02-26,30.0,Unknown,70000,556.7885149488254,West,20,Average
C1057,2022-02-27,,Female,,491.2605304811753,Central,1,
C1058,2022-02-28,25.0,,50000,398.3847538317914,West,3,Good service
C1059,2022-03-01,,Male,60000,318.21833303769625,South,1,Average
C1060,2022-03-02,45.0,Unknown,40000,446.4182057519575,South,10,Average
C1061,2022-03-03,30.0,,120000,602.7678553188167,Central,1,Excellent!
C1062,2022-03-04,30.0,,40000,525.6912492956245,West,1,
C1063,2022-03-05,25.0,Female,40000,350.51134655456144,North,10,
C1064,2022-03-06,30.0,Unknown,60000,520.7817111021418,,4,Bad experience
C1065,2022-03-07,40.0,Unknown,40000,546.2380855674604,,1,Excellent!
C1066,2022-03-08,30.0,Male,50000,393.93710765586405,Central,10,Average
C1067,2022-03-09,,Unknown,50000,518.4470127134633,South,5,
C1068,2022-03-10,,Male,70000,506.98504621352,South,3,
C1069,2022-03-11,50.0,Unknown,,362.84356426032525,,3,Average
C1070,2022-03-12,,Female,120000,542.9344832417939,Central,1,
C1071,2022-03-13,50.0,Unknown,40000,567.2941431641881,West,4,
C1072,2022-03-14,,Male,40000,629.9661491810332,South,4,
C1073,2022-03-15,40.0,Male,60000,626.4562462441884,West,5,
C1074,2022-03-16,50.0,Female,,334.67967584514906,South,1,Excellent!
C1075,2022-03-17,35.0,Unknown,50000,387.4609952101853,South,3,
C1076,2022-03-18,45.0,Unknown,120000,561.8042320650392,East,4,Good service
C1077,2022-03-19,25.0,Female,70000,561.6543141094651,South,1,Average
C1078,2022-03-20,,Unknown,50000,561.8057223567257,North,20,Excellent!
C1079,2022-03-21,30.0,Unknown,,962.3277788785665,Central,4,Excellent!
C1080,2022-03-22,,Male,70000,568.50686128318,Central,10,Excellent!
C1081,2022-03-23,30.0,Unknown,60000,636.2678768216718,West,20,Excellent!
C1082,2022-03-24,45.0,Unknown,60000,614.4802116191843,South,4,
C1083,2022-03-25,45.0,Female,40000,578.1669501566957,North,3,Excellent!
C1084,2022-03-26,45.0,Female,,462.16769064315855,West,2,Bad experience
C1085,2022-03-27,30.0,,120000,591.0763064591921,East,20,Average
C1086,2022-03-28,,Male,70000,407.2609742554914,West,5,Excellent!
C1087,2022-03-29,45.0,Unknown,50000,471.58176719119894,West,5,Average
C1088,2022-03-30,40.0,Unknown,,441.7563742605076,South,3,Bad experience
C1089,2022-03-31,50.0,,,509.8248967263587,East,4,Bad experience
C1090,2022-04-01,30.0,Unknown,60000,777.759028000821,West,1,Average
C1091,2022-04-02,30.0,Male,40000,275.92817688899027,North,4,
C1092,2022-04-03,,,40000,582.3512228449416,North,3,Good service
C1093,2022-04-04,30.0,Male,70000,306.4740954572418,Central,5,
C1094,2022-04-05,30.0,,60000,443.368176105268,East,4,
C1095,2022-04-06,45.0,,,630.6740716360839,East,5,
C1096,2022-04-07,,Female,120000,507.7136022914555,Central,20,
C1097,2022-04-08,45.0,Male,60000,370.6706266484833,West,1,Excellent!
C1098,2022-04-09,50.0,Unknown,70000,4141.635548888038,East,20,
C1099,2022-04-10,50.0,Unknown,70000,581.5517298721611,North,5,
C1002,2022-01-03,40.0,Unknown,120000,3725.2355435286745,,3,Good service
C1015,2022-01-16,35.0,Male,,593.8187446132772,East,1,Average
C1086,2022-03-28,,Male,70000,407.2609742554914,West,5,Excellent!
C1056,2022-02-26,30.0,Unknown,70000,556.7885149488254,West,20,Average
C1074,2022-03-16,50.0,Female,,3346.796758451491,South,1,Excellent!
